id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_tanaman,luas_tanaman,satuan,tahun
56,32,JAWA BARAT,3271,KOTA BOGOR,TM,0.0,HEKTAR,2013
57,32,JAWA BARAT,3271,KOTA BOGOR,TR/TTM,0.0,HEKTAR,2013
58,32,JAWA BARAT,3272,KOTA SUKABUMI,TBM,0.0,HEKTAR,2013
59,32,JAWA BARAT,3272,KOTA SUKABUMI,TM,0.0,HEKTAR,2013
60,32,JAWA BARAT,3272,KOTA SUKABUMI,TR/TTM,0.0,HEKTAR,2013
61,32,JAWA BARAT,3273,KOTA BANDUNG,TBM,0.0,HEKTAR,2013
62,32,JAWA BARAT,3273,KOTA BANDUNG,TM,0.0,HEKTAR,2013
63,32,JAWA BARAT,3273,KOTA BANDUNG,TR/TTM,0.0,HEKTAR,2013
64,32,JAWA BARAT,3274,KOTA CIREBON,TBM,0.0,HEKTAR,2013
65,32,JAWA BARAT,3274,KOTA CIREBON,TM,0.0,HEKTAR,2013
66,32,JAWA BARAT,3274,KOTA CIREBON,TR/TTM,0.0,HEKTAR,2013
67,32,JAWA BARAT,3275,KOTA BEKASI,TBM,0.0,HEKTAR,2013
68,32,JAWA BARAT,3275,KOTA BEKASI,TM,0.0,HEKTAR,2013
69,32,JAWA BARAT,3275,KOTA BEKASI,TR/TTM,0.0,HEKTAR,2013
70,32,JAWA BARAT,3276,KOTA DEPOK,TBM,0.0,HEKTAR,2013
71,32,JAWA BARAT,3276,KOTA DEPOK,TM,0.0,HEKTAR,2013
72,32,JAWA BARAT,3276,KOTA DEPOK,TR/TTM,0.0,HEKTAR,2013
73,32,JAWA BARAT,3277,KOTA CIMAHI,TBM,0.0,HEKTAR,2013
74,32,JAWA BARAT,3277,KOTA CIMAHI,TM,0.0,HEKTAR,2013
75,32,JAWA BARAT,3277,KOTA CIMAHI,TR/TTM,0.0,HEKTAR,2013
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TBM,0.0,HEKTAR,2013
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TM,0.0,HEKTAR,2013
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TR/TTM,0.0,HEKTAR,2013
79,32,JAWA BARAT,3279,KOTA BANJAR,TBM,0.0,HEKTAR,2013
80,32,JAWA BARAT,3279,KOTA BANJAR,TM,0.0,HEKTAR,2013
81,32,JAWA BARAT,3279,KOTA BANJAR,TR/TTM,0.0,HEKTAR,2013
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,TBM,3.0,HEKTAR,2014
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,TM,36.0,HEKTAR,2014
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,TR/TTM,4.0,HEKTAR,2014
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TBM,259.0,HEKTAR,2014
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TM,2792.0,HEKTAR,2014
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TR/TTM,5266.0,HEKTAR,2014
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TBM,844.0,HEKTAR,2014
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TM,7276.0,HEKTAR,2014
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TR/TTM,6079.0,HEKTAR,2014
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TBM,107.0,HEKTAR,2014
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TM,1583.0,HEKTAR,2014
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TR/TTM,11.0,HEKTAR,2014
94,32,JAWA BARAT,3205,KABUPATEN GARUT,TBM,70.0,HEKTAR,2014
95,32,JAWA BARAT,3205,KABUPATEN GARUT,TM,3049.0,HEKTAR,2014
96,32,JAWA BARAT,3205,KABUPATEN GARUT,TR/TTM,1190.0,HEKTAR,2014
97,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TBM,257.0,HEKTAR,2014
98,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TM,6662.0,HEKTAR,2014
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TR/TTM,2372.0,HEKTAR,2014
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TBM,0.0,HEKTAR,2014
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TM,75.0,HEKTAR,2014
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TR/TTM,90.0,HEKTAR,2014
103,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TBM,0.0,HEKTAR,2014
104,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TM,0.0,HEKTAR,2014
105,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TR/TTM,0.0,HEKTAR,2014
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,TBM,0.0,HEKTAR,2014
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,TM,0.0,HEKTAR,2014
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,TR/TTM,0.0,HEKTAR,2014
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TBM,106.0,HEKTAR,2014
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TM,334.0,HEKTAR,2014
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TR/TTM,233.0,HEKTAR,2014
112,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TBM,26.0,HEKTAR,2014
113,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TM,326.0,HEKTAR,2014
114,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TR/TTM,180.0,HEKTAR,2014
115,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TBM,0.0,HEKTAR,2014
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TM,0.0,HEKTAR,2014
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TR/TTM,0.0,HEKTAR,2014
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,TBM,62.0,HEKTAR,2014
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,TM,385.0,HEKTAR,2014
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,TR/TTM,84.0,HEKTAR,2014
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TBM,392.0,HEKTAR,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TM,3953.0,HEKTAR,2014
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TR/TTM,170.0,HEKTAR,2014
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TBM,0.0,HEKTAR,2014
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TM,0.0,HEKTAR,2014
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TR/TTM,0.0,HEKTAR,2014
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,TBM,0.0,HEKTAR,2014
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,TM,0.0,HEKTAR,2014
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,TR/TTM,0.0,HEKTAR,2014
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TBM,105.0,HEKTAR,2014
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TM,1362.0,HEKTAR,2014
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TR/TTM,109.0,HEKTAR,2014
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TBM,0.0,HEKTAR,2014
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TM,0.0,HEKTAR,2014
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TR/TTM,0.0,HEKTAR,2014
136,32,JAWA BARAT,3271,KOTA BOGOR,TBM,0.0,HEKTAR,2014
137,32,JAWA BARAT,3271,KOTA BOGOR,TM,0.0,HEKTAR,2014
138,32,JAWA BARAT,3271,KOTA BOGOR,TR/TTM,0.0,HEKTAR,2014
139,32,JAWA BARAT,3272,KOTA SUKABUMI,TBM,0.0,HEKTAR,2014
140,32,JAWA BARAT,3272,KOTA SUKABUMI,TM,0.0,HEKTAR,2014
141,32,JAWA BARAT,3272,KOTA SUKABUMI,TR/TTM,0.0,HEKTAR,2014
142,32,JAWA BARAT,3273,KOTA BANDUNG,TBM,0.0,HEKTAR,2014
143,32,JAWA BARAT,3273,KOTA BANDUNG,TM,0.0,HEKTAR,2014
144,32,JAWA BARAT,3273,KOTA BANDUNG,TR/TTM,0.0,HEKTAR,2014
145,32,JAWA BARAT,3274,KOTA CIREBON,TBM,0.0,HEKTAR,2014
146,32,JAWA BARAT,3274,KOTA CIREBON,TM,0.0,HEKTAR,2014
147,32,JAWA BARAT,3274,KOTA CIREBON,TR/TTM,0.0,HEKTAR,2014
148,32,JAWA BARAT,3275,KOTA BEKASI,TBM,0.0,HEKTAR,2014
149,32,JAWA BARAT,3275,KOTA BEKASI,TM,0.0,HEKTAR,2014
150,32,JAWA BARAT,3275,KOTA BEKASI,TR/TTM,0.0,HEKTAR,2014
151,32,JAWA BARAT,3276,KOTA DEPOK,TBM,0.0,HEKTAR,2014
152,32,JAWA BARAT,3276,KOTA DEPOK,TM,0.0,HEKTAR,2014
153,32,JAWA BARAT,3276,KOTA DEPOK,TR/TTM,0.0,HEKTAR,2014
154,32,JAWA BARAT,3277,KOTA CIMAHI,TBM,0.0,HEKTAR,2014
155,32,JAWA BARAT,3277,KOTA CIMAHI,TM,0.0,HEKTAR,2014
156,32,JAWA BARAT,3277,KOTA CIMAHI,TR/TTM,0.0,HEKTAR,2014
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TBM,0.0,HEKTAR,2014
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TM,0.0,HEKTAR,2014
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TR/TTM,0.0,HEKTAR,2014
160,32,JAWA BARAT,3279,KOTA BANJAR,TBM,0.0,HEKTAR,2014
161,32,JAWA BARAT,3279,KOTA BANJAR,TM,0.0,HEKTAR,2014
162,32,JAWA BARAT,3279,KOTA BANJAR,TR/TTM,0.0,HEKTAR,2014
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,TBM,2.0,HEKTAR,2015
